DonorId,Donor Name,Donations Value,Donation Events,Donation Mean
114.0,Mr Michael A. Heller,2500.0,1,2500.0
115.0,Sir Brian Goswell,1250.0,1,1250.0
116.0,Dr John Quelch,2500.0,1,2500.0
117.0,Mr R E Carlsson,27500.0,2,13750.0
118.0,Mr Tim Carrington,10000.0,2,5000.0
119.0,Mr Michael J Wade,57995.78,6,9665.963333333333
119.0,Mr Michael Maude,2800.0,2,1400.0
120.0,Andrew H Scott,5000.0,1,5000.0
121.0,Rocco Forte,42000.0,2,21000.0
121.0,Sir Rocco Forte Ltd,30000.0,5,6000.0
122.0,Mr Irvine Laidlaw,5000.0,1,5000.0
123.0,Sir Stanley Kalms,5000.0,1,5000.0
124.0,Sir Henry Angest,11950.0,3,3983.3333333333335
125.0,Maurice Bennett,505000.0,2,252500.0
126.0,Sir Jocelyn Stevens Cvo,5000.0,1,5000.0
127.0,Lord David Poole,5000.0,1,5000.0
128.0,Mr Burhan M Al-Chalabi,15000.0,3,5000.0
129.0,Mr Henry Keswick,5000.0,1,5000.0
130.0,Lord John Sainsbury Of Preston Candover,107500.0,3,35833.333333333336
131.0,Mr J. Donald Hanson,2500.0,1,2500.0
132.0,Mr Peter W Harris,176914.0,2,88457.0
133.0,Mr David Allen,183457.0,1,183457.0
134.0,Mr John Coker,201050.0,2,100525.0
135.0,Lord Na Daresbury,10000.0,1,10000.0
136.0,Mr John Cook,25000.0,1,25000.0
137.0,Compton Beauchamp Estates,5000.0,1,5000.0
138.0,Mr David C Allen,1500.0,1,1500.0
138.0,Mr David J Wall,25070.0,8,3133.75
138.0,Mr David Nicholls,7200.0,2,3600.0
139.0,Ifaw,5000.0,1,5000.0
140.0,Compassion Of World Farming,5000.0,1,5000.0
141.0,League Against Cruel Sports,5000.0,1,5000.0
142.0,Campaign To End All Animal Experiments,16905.0,1,16905.0
143.0,National Union Of Teachers,100000.0,2,50000.0
144.0,Public And Commercial Services Union (Pcs),98500.06,10,9850.006
147.0,Mrs C Nancy Andrews,5000.0,1,5000.0
148.0,Mrs C Nancy Andrews,20000.0,1,20000.0
149.0,Mrs C Nancy Andrews,15000.0,1,15000.0
150.0,Mr Christopher Royston,2000.0,1,2000.0
151.0,Mr Christopher Clayton,2000.0,1,2000.0
152.0,Mr Christopher Clayton,1500.0,1,1500.0
153.0,Mr Christopher Clayton,4000.0,1,4000.0
154.0,Mr Adrian Jarvis,10000.0,1,10000.0
155.0,Gmb,30717020.0,1524,20155.524934383204
158.0,Henry Tinsley,10250.0,1,10250.0
162.0,Malik Karim,32500.0,2,16250.0
170.0,Mr Paul Strasburger,7200.0,1,7200.0
171.0,Mr Robin Monro-Davies,2000.0,1,2000.0
172.0,Sir Ian Wrigglesworth,5000.0,1,5000.0
173.0,Mr Paul Strasburger,2400.0,1,2400.0
174.0,Mr Paul Strasburger,600.0,1,600.0
175.0,Lord Na Sharman,1500.0,1,1500.0
176.0,Lord Na Sharman,1500.0,1,1500.0
177.0,Lord Na Sharman,1500.0,1,1500.0
178.0,Mr Peter Paul-Huhne,5000.0,1,5000.0
179.0,Plaid Cymru - The Party Of Wales Group Of Cllrs Caerphilly,1200.0,1,1200.0
180.0,Mr Rhys Davies,10000.0,1,10000.0
181.0,D Clayton Jones,4000.0,2,2000.0
181.0,Mr Clayton Jones,13567.0,2,6783.5
182.0,Dominic Grieve,825.0,1,825.0
183.0,Dominic Grieve,500.0,1,500.0
184.0,John Midlane,1000.0,1,1000.0
185.0,John Midlane,600.0,1,600.0
187.0,Dcs Europe Ltd,32705.0,2,16352.5
188.0,The R H Group Ltd,49033.06,6,8172.176666666666
189.0,Rab Capital Plc,70000.0,3,23333.333333333332
189.0,Red Capital Limited,19500.0,4,4875.0
190.0,Helical Bar Plc,22500.0,4,5625.0
191.0,Foster Yeoman Ltd,18000.0,2,9000.0
192.0,First Continental Trading Europe Ltd,10000.0,1,10000.0
193.0,John D Guest,5000.0,1,5000.0
194.0,Ms Sheila J Haes,22000.0,2,11000.0
195.0,Stanley Kalms,20000.0,1,20000.0
196.0,Mr John C Peake,70000.0,3,23333.333333333332
197.0,David G Webster,6000.0,1,6000.0
198.0,Eileen A Charnley,2800.0,1,2800.0
199.0,James F Howes,1500.0,1,1500.0
200.0,Khalid Hussain,2000.0,1,2000.0
201.0,Khalid Hussain,500.0,1,500.0
202.0,Graham D Child,880.0,1,880.0
203.0,Graham D Child,10295.0,2,5147.5
204.0,Jeremy Lloyd,5130.0,3,1710.0
204.0,Mr Jeremy W Lefroy,4150.0,1,4150.0
205.0,Jeremy W Lloyd,390.0,1,390.0
206.0,Mr James D Hanson,23680.0,3,7893.333333333333
206.0,Mr James Hanson,10000.0,1,10000.0
207.0,Harris & Sheldon Group Ltd,221000.0,20,11050.0
208.0,Lion Associates Ltd,15000.0,1,15000.0
209.0,Courtenay Investments Limited,10000.0,1,10000.0
210.0,The United And Cecil Club,66000.0,4,16500.0
211.0,Mohammed Ali,1000.0,1,1000.0
212.0,Mohammed Khaliq,8500.0,3,2833.3333333333335
212.0,Mr Mohammed Patel,11000.0,2,5500.0
213.0,Lord Na Ashcroft,30200.0,1,30200.0
214.0,Nigel C Bassard,6001.0,2,3000.5
215.0,Jon Moynihan,62380.0,4,15595.0
216.0,Jon P Moynihan,1945.0,1,1945.0
217.0,David J Walter,3680.0,3,1226.6666666666667
218.0,David J Walker,390.0,1,390.0
219.0,Weetabix Ltd,15000.0,2,7500.0
220.0,Fortress Hold Howard,2500.0,1,2500.0
221.0,John R Wells,1120.0,1,1120.0
222.0,The Clarendon Club,2500.0,1,2500.0
223.0,Geoffrey H King,1000.0,1,1000.0
224.0,Geoffrey H King,250.0,1,250.0
225.0,Ashley Group Ltd,13700.0,1,13700.0
226.0,Grampian Foods Ltd,13700.0,1,13700.0
227.0,Ferguson Seacabs Ltd,13700.0,1,13700.0
228.0,Iir Limited,2367586.74,24,98649.44750000001
229.0,Norman Macfarlane,5000.0,1,5000.0
230.0,Norman Macfarlane,266.0,1,266.0
231.0,Derek S Ashburner,1500.0,1,1500.0
232.0,David D Coleman,12747.630000000001,2,6373.8150000000005
232.0,David John Coldman,20000.0,1,20000.0
233.0,Lord Na Avebury,14500.0,6,2416.6666666666665
234.0,Sameh K Hindi,2000.0,1,2000.0
235.0,Michael A Pass,5000.0,1,5000.0
236.0,Westminster Sociey,2000.0,1,2000.0
237.0,Mr Philip Brown,43500.0,3,14500.0
237.0,Philip Brown,179691.09,5,35938.218
237.0,Philp Brown,7750.0,1,7750.0
238.0,Mr Trevor Burfield,6000.0,2,3000.0
239.0,Roger Carlsson,65000.0,3,21666.666666666668
240.0,Roger E Carlsson,5000.0,1,5000.0
241.0,Andrew S Dalton,6000.0,1,6000.0
242.0,Mr Duncan H Davidson,20000.0,2,10000.0
243.0,J V Douglas-Home,10000.0,1,10000.0
244.0,John M Elliott,25000.0,3,8333.333333333334
245.0,Alan C Farrow,50000.0,1,50000.0
246.0,H J Gillam,10000.0,1,10000.0
247.0,Mr John D Guest,4000.0,2,2000.0
248.0,Usdaw,1781998.6600000001,89,20022.456853932585
255.0,Vanni Treves,1600.0,1,1600.0
256.0,Leicester City Council Labour Group,29200.0,5,5840.0
256.0,Manchester City Council Labour Group,9000.0,2,4500.0
256.0,Manchester Council Labour Group,3500.0,1,3500.0
256.0,Westminster City Councillors Group,7902.13,2,3951.065
257.0,Falmouth Labour Club,6000.0,1,6000.0
257.0,Weymouth Labour Club Ltd,30600.0,41,746.3414634146342
284.0,Co-Operative Party,1605910.28,893,1798.3317805151175
345.0,Graham  Jones,8000.0,1,8000.0
345.0,Mr Graham Jones Obe,5050.0,1,5050.0
346.0,Gateshead Labour Group,2617.0,2,1308.5
347.0,Istc,503695.55,88,5723.813068181818
357.0,Joan Morgan,2000.0,1,2000.0
358.0,Joan Morgan,2000.0,1,2000.0
378.0,Lord Chris Haskins,10000.0,1,10000.0
384.0,Richalis Ltd,8000.0,2,4000.0
387.0,Mr Robert Mann,20000.0,2,10000.0
387.0,Robert Wann,10000.0,1,10000.0
388.0,Crawley Borough Council Labour Group,16000.0,6,2666.6666666666665
388.0,Gravesham Borough Council Labour Group,1809.41,1,1809.41
388.0,Southend Borough Council Labour Group,6070.0,3,2023.3333333333333
389.0,Roubal Properties Limited,229981.7,20,11499.085000000001
391.0,Scottish Power Ltd,202162.5,29,6971.120689655172
392.0,Swraj Paul,10000.0,1,10000.0
415.0,Simpsons Solicitors,2400.0,2,1200.0
415.0,Thompsons Solicitors Ltd,30818.0,9,3424.222222222222
416.0,Thompsons Solicitors,5000.0,1,5000.0
457.0,William Bottriell,58020.630000000005,13,4463.125384615385
480.0,Alec Reed Cbe,10000.0,1,10000.0
481.0,Alexandra Marks,1300.0,1,1300.0
482.0,Associated Society Of Locomotive Engineers & Firemen,1298606.32,239,5433.499246861925
485.0,Sir Christopher Ondaatje,501200.0,2,250600.0
513.0,Communication Workers Union,17079756.54,1585,10775.8716340694
514.0,David Yallop,2000.0,1,2000.0
515.0,Edmonton Lp Property,900.0,1,900.0
516.0,Edmonton Lp Property,400.0,1,400.0
517.0,Emta,7425.0,2,3712.5
520.0,Gertrude Townsend,14333.34,1,14333.34
556.0,Joel Joffe Cbe,10000.0,1,10000.0
557.0,Mr John Reynolds,6500.0,2,3250.0
558.0,Jonathan Altaras,1500.0,1,1500.0
560.0,Law Business Research Ltd,1500.0,1,1500.0
561.0,The Lionel Cooke Memorial Fund Limited,380000.0,12,31666.666666666668
603.0,National Federation Of Self Employed And Small Businesses Ltd,7900.0,2,3950.0
603.0,National Federation Of Self-Employed And Small Businesses Ltd,1000.0,1,1000.0
609.0,Ups (Uk) Ltd,17625.0,1,17625.0
636.0,Ballathie Estates Ltd,50400.0,4,12600.0
637.0,Mr John Morgan,11755.25,4,2938.8125
637.0,Ms Joan Morgan,4300.0,2,2150.0
643.0,Hon Raymond Bonham-Carter,6000.0,1,6000.0
644.0,Mr Brian Mccarthy,2700.0,2,1350.0
644.0,Mr Ronan Mccarthy,1200.0,1,1200.0
645.0,Mrs Adrienne Mccarthy,2700.0,2,1350.0
646.0,Orpington Liberal Club,5000.0,1,5000.0
647.0,Lord Na Jacobs,31000.0,1,31000.0
650.0,P A Gilmour,2160.0,2,1080.0
651.0,Alan J Sharp,2500.0,1,2500.0
652.0,Mr A Wilkins,29750.0,4,7437.5
653.0,Mr R De-Ste Croix,2000.0,1,2000.0
654.0,Cllr Brian Dash,4300.0,2,2150.0
655.0,Lynne Featherstone Mp,5764.04,3,1921.3466666666666
656.0,Mr Garth Underwood,10000.0,1,10000.0
657.0,Mr David Foxton,9000.0,3,3000.0
658.0,J Drage,1100.0,1,1100.0
659.0,Sir Eddie Kulukundis,6000.0,1,6000.0
660.0,Mr John  Hemming,43549.91,10,4354.991
661.0,Liberal Democrats Christmas Draw,1300.0,1,1300.0
662.0,Liberal Democrats Christmas Draw,1300.0,1,1300.0
663.0,Liberal Democrats Christmas Draw,1300.0,1,1300.0
664.0,Coteval Ltd,27462.35,2,13731.175
665.0,Mr Ben Prescott,8435.0,2,4217.5
666.0,Mr S Jordan,1040.0,1,1040.0
667.0,Mr Ivor Holland,7500.0,2,3750.0
668.0,Mr Jefferson  Horsley,5040.0,2,2520.0
669.0,City Cruises Plc,11604.0,3,3868.0
670.0,Mr Peter Long,8465.0,1,8465.0
670.0,Peter Yeldon,15000.0,2,7500.0
671.0,Mr David Bliss,46000.0,19,2421.0526315789475
671.0,Mr David Lowes,3950.0,2,1975.0
672.0,Dr Maitland Mackie,3949.42,2,1974.71
673.0,Mr Richard Wainwright,1500.0,1,1500.0
674.0,F Thompson,1250.0,1,1250.0
675.0,Colchester Lib Dem 300 Club,4650.0,2,2325.0
676.0,Taunton Deane Lib Dem Council Group,2900.0,1,2900.0
677.0,Kingston Lib Dem Council Group,1500.0,1,1500.0
678.0,Mr Dominic Mathon,1060.0,1,1060.0
679.0,Friends Of Rochdale Liberal Democrats,3208.0,2,1604.0
680.0,Liberal Democrat Christmas Draw,2300.0,3,766.6666666666666
681.0,Richmond Lib Dem 200 Club,1137.5,1,1137.5
682.0,Kingston Lib Dem Council Group,2066.0,1,2066.0
682.0,Kirklees Lib Dem Council Gp,1161.78,1,1161.78
682.0,Kirkless Liberal Democrat Dem Council Group,1254.6,1,1254.6
683.0,Mr Michael Mashud Stewart,4000.0,1,4000.0
685.0,Lincoln Co-Operative Society Ltd,1800.0,2,900.0
686.0,Oxford Swindon & Gloucester Co-Operative Group,159206.57,27,5896.53962962963
690.0,West Hunslet Liberal Housing Committee,3000.0,1,3000.0
691.0,Mrs Na Allardyce,2000.0,1,2000.0
692.0,Lord David Sainsbury Of Turville,10000.0,1,10000.0
693.0,Lord Waheed Alli,10000.0,1,10000.0
694.0,Lord David Sainsbury Of Turville,10000.0,1,10000.0
695.0,Lord Waheed Alli,10000.0,1,10000.0
696.0,Miss Alison Swan Parente,5000.0,1,5000.0
697.0,Lord Na Hollick,10000.0,1,10000.0
698.0,Court Consultants Limited,13500.0,3,4500.0
698.0,Db Consultants Limited,12500.0,2,6250.0
699.0,Lord Feldman Of Frognal,11643.0,1,11643.0
702.0,Sir Harold Stanley Kalms,5000.0,1,5000.0
703.0,Eric Wright,21000.0,2,10500.0
704.0,Mr Peter Baker,4000.0,2,2000.0
704.0,Mr Peter Walker,5750.0,1,5750.0
705.0,Mr John W Leavesley,10000.0,1,10000.0
705.0,Mr John William Leavesley,15912.16,2,7956.08
706.0,Lord James Edward Hanson,5000.0,1,5000.0
707.0,Mr John D Spurling,12500.0,2,6250.0
708.0,Mr James Thomas Leavesly,5000.0,1,5000.0
709.0,Bmg Research Ltd,9995.0,1,9995.0
710.0,John Frieda Products,20000.0,1,20000.0
711.0,Mr Den Dover,2000.0,1,2000.0
712.0,Mr Mike Hargrove,5000.0,1,5000.0
713.0,Mr John David,2000.0,1,2000.0
713.0,Mr John Davidson,8000.0,2,4000.0
714.0,Mr D. T. C. Caldow,4000.0,1,4000.0
715.0,Association Of Conservative Clubs Limited (The),1139657.23,90,12662.85811111111
716.0,Transeuro Amertrans Worldwide Relocations,1250.0,1,1250.0
717.0,Lord Harris Of Peckham,120000.0,1,120000.0
718.0,Mr Simon Robertson,25000.0,1,25000.0
719.0,Mr Simon Robertson,25000.0,1,25000.0
720.0,Mr Simon Robertson,25000.0,1,25000.0
721.0,Mr Michael Hintze,12500.0,1,12500.0
722.0,Mr Michael Hintze,12500.0,1,12500.0
723.0,Mr Simon Robertson,25000.0,1,25000.0
724.0,Mr Michael Hintze,12500.0,1,12500.0
725.0,Lord Na Steinberg,16446.0,2,8223.0
726.0,Flowidea Ltd,2792571.77,81,34476.194691358025
727.0,Sovereign Strategy Ltd,217682.0,33,6596.424242424242
728.0,Tyneside Preparation Cluster Ltd,50000.0,1,50000.0
730.0,Lady Mae Hall,50000.0,1,50000.0
731.0,Browell Smith And Co. Solicitors,36933.0,11,3357.5454545454545
732.0,Palmebourne Engineering Ltd,1100.0,1,1100.0
733.0,Mr Philip Gwyn,2000.0,1,2000.0
734.0,Mr Ian C Hannam,52500.0,2,26250.0
736.0,Mr Mark A Pritchard,2000.0,1,2000.0
737.0,Sir Robert Balchin,5000.0,1,5000.0
738.0,Mr George Goulandris,1250.0,1,1250.0
739.0,Galaxy Asset Management Ltd,40000.0,4,10000.0
740.0,Mr J B Goulandris,1250.0,1,1250.0
741.0,Mr Frederick Forsyth,5000.0,1,5000.0
742.0,Lord Na Kalms,50000.0,1,50000.0
743.0,Mr John D Aspinall,12000.0,2,6000.0
744.0,Dow Investments Ltd,94750.0,14,6767.857142857143
744.0,Gp Investments Ltd,2400.0,1,2400.0
744.0,Jrj Investments Ltd,24910.96,2,12455.48
744.0,Shaftesbury Investments Ltd,1900.0,1,1900.0
744.0,Silvergate Investments,100000.0,2,50000.0
744.0,Slater Investments Ltd,2000.0,1,2000.0
745.0,Icap Management Services Ltd,24307.940000000002,5,4861.588000000001
746.0,Wheb Ventures,5000.0,1,5000.0
747.0,Arbuthnot Banking Group Plc,432621.99,21,20601.047142857144
748.0,Mr Neil Ashley,5000.0,1,5000.0
749.0,Annabel'S (Berkeley Square) Ltd,191800.0,7,27400.0
750.0,Mr Frederick Forsyth,2500.0,1,2500.0
751.0,Mr Robin Grey,79993.42,12,6666.118333333333
751.0,Mr Robin S Bradley,10000.0,1,10000.0
752.0,J C Bamford Excavators Ltd,10133670.41,270,37532.11262962963
753.0,Anglo Scottish Properties Ltd,26500.0,3,8833.333333333334
753.0,Anglo Scottish Properties Plc,133500.0,11,12136.363636363636
754.0,Mr John Hj Lewis,32500.0,2,16250.0
755.0,Techtest Ltd,846000.0,21,40285.71428571428
756.0,Lord Stanley Kalms,25000.0,1,25000.0
757.0,Abbey Business Centres Ltd,1437887.1,62,23191.72741935484
758.0,Keltruck Limited,22000.0,3,7333.333333333333
760.0,Sovereign Capital Partners Llp,15000.0,1,15000.0
761.0,Transeuro Amertrans Worldwide Relocations,1250.0,1,1250.0
762.0,Katisouris (Fresh Foods) Ltd,11656.75,2,5828.375
763.0,Alena Ltd,2000.0,1,2000.0
765.0,The Caravan Club,5000.0,1,5000.0
766.0,Mr Irvine Laidlaw,10000.0,1,10000.0
767.0,Sir Henry Keswick,80000.0,3,26666.666666666668
768.0,Mr John D Spurling,10000.0,1,10000.0
769.0,Lord Philip Harris Of Peckham,25000.0,3,8333.333333333334
770.0,Mr Stanley Fink,30000.0,1,30000.0
771.0,Mr Stanley Fink,30000.0,1,30000.0
772.0,Mr Julian Schild,5000.0,1,5000.0
773.0,Mr Stanley Fink,35000.0,1,35000.0
774.0,Cavendish Corporate Finance (Uk) Ltd,152499.6,21,7261.885714285714
775.0,Mr Stanley Fink,35000.0,1,35000.0
776.0,Mr Julian Schild,25000.0,1,25000.0
777.0,Mr Stanley Fink,40000.0,1,40000.0
779.0,Mr Julian Schild,10000.0,1,10000.0
780.0,Mr Stanley Fink,45000.0,1,45000.0
781.0,British Healthcare Trades Association,6000.0,1,6000.0
782.0,West Hunslet Liberal Housing Committee,3000.0,1,3000.0
783.0,Mr Martyn Rose,23770.0,1,23770.0
784.0,Mr Martyn Rose,57570.03,2,28785.015
785.0,Mr Richard Sharp,2934.1,1,2934.1
786.0,Mr Martyn Rose,16508.95,1,16508.95
787.0,Mr Martyn Rose,23618.0,1,23618.0
788.0,Mr Martyn Rose,2860.0,1,2860.0
789.0,Mr Martyn Rose,2860.0,1,2860.0
790.0,Mr Martyn Rose,2860.0,1,2860.0
791.0,Mr Martyn Rose,2799.1,1,2799.1
792.0,Mr Martyn Rose,2799.1,1,2799.1
793.0,Mr Martyn Rose,2799.1,1,2799.1
794.0,Mr Martyn Rose,2799.1,1,2799.1
795.0,Mr Martyn Rose,2799.1,1,2799.1
796.0,Mr Martyn Rose,2799.1,1,2799.1
797.0,Mr Martyn Rose,2799.1,1,2799.1
798.0,Mr Martyn Rose,2799.1,1,2799.1
799.0,Mr Martyn Rose,2799.1,1,2799.1
800.0,Mr Martyn Rose,2799.1,1,2799.1
801.0,Mr Martyn Rose,2799.1,1,2799.1
802.0,Mr Martyn Rose,2799.1,1,2799.1
803.0,Mr Martyn Rose,2859.95,1,2859.95
804.0,Mr Ramon P Johns,1300.0,1,1300.0
805.0,Mr John Tyndall,1200.0,1,1200.0
806.0,A J Tulloch,25000.0,1,25000.0
807.0,Hugh Fraser,1400.0,1,1400.0
808.0,Mrs Janet Alty,2500.0,1,2500.0
808.0,Ms Janet Alty,5180.0,2,2590.0
809.0,Snackdragon,7217.0,2,3608.5
810.0,Mr R N C Hall,1100.0,1,1100.0
811.0,Rotherfield Peppard Plc,2000.0,1,2000.0
812.0,Steve Dooley Associates Ltd,2000.0,1,2000.0
813.0,Mr Patrick Simpson,1500.0,1,1500.0
814.0,William Joseph Vinyard,1500.0,1,1500.0
815.0,Albert Mcmanus,2000.0,1,2000.0
816.0,Mr David Rowland,1038459.0,2,519229.5
817.0,Lady Na Hayward,25000.0,1,25000.0
818.0,Sir Jack Hayward,25000.0,1,25000.0
819.0,Oliver Marriott,3650.0,2,1825.0
820.0,Bruce Robertson,28200.0,4,7050.0
821.0,Lord James D Neidpath,17510.0,4,4377.5
821.0,Lord James Neidpath,17500.0,3,5833.333333333333
822.0,Dennis Julian France,1250.0,1,1250.0
823.0,Mr G Kelly,1545.13,1,1545.13
824.0,Dai Rees,1550.0,1,1550.0
825.0,Mr Paul Sykes,34265.72,2,17132.86
826.0,Lord Na Bradford,2000.0,1,2000.0
827.0,Ms Fran Edwards,8500.0,2,4250.0
827.0,Ms Jane Edwards,5000.0,1,5000.0
828.0,Lakeside Country Club,1500.0,1,1500.0
829.0,Mk Choudhary,3000.0,1,3000.0
830.0,Mr Albert Allen,2000.0,1,2000.0
831.0,Mr John B Zochonis,2000.0,1,2000.0
832.0,Mr Bernard Kantor,2000.0,1,2000.0
833.0,Stalbury Trustees,636338.58,118,5392.699830508474
833.0,Stalbury Trustess,8500.0,3,2833.3333333333335
834.0,Imbex 88,2500.0,1,2500.0
837.0,John T Loveys Jervoise,5300.0,2,2650.0
838.0,Lord William Dartmough,13700.0,3,4566.666666666667
839.0,Leigh Conservative Club Building Co Ltd,4324.12,2,2162.06
840.0,Mr Simon Hl Porter,1750.0,1,1750.0
841.0,Mr Philip G Verdin,1500.0,1,1500.0
842.0,Arthur Price & Co Limited,5000.0,1,5000.0
843.0,Mr Michael P Wright,2000.0,1,2000.0
844.0,Maidenwell Farms,3000.0,1,3000.0
845.0,Peter H Tapsell,3400.0,2,1700.0
846.0,Barry Simmonds,1500.0,1,1500.0
847.0,Ms Carole A Williams,3000.0,1,3000.0
848.0,Thomas Simpson,7000.0,2,3500.0
849.0,The Marquis Of Tavistock,2000.0,1,2000.0
850.0,Time 24 Limited,2000.0,1,2000.0
851.0,Mrs Ann R Said,4700.0,2,2350.0
852.0,Mr Richard S Lines,5000.0,1,5000.0
853.0,Mr Richard J Tice,17000.0,2,8500.0
854.0,Dale Purcocks,4000.0,2,2000.0
855.0,Mr Alasdair J Locke,7500.0,1,7500.0
856.0,John R Wilkinson,4000.0,2,2000.0
